crop,x1,y1,x2,y2,conf,match_pct,ignored
frame_000001_fish_00.png,976,327,1015,389,0.8910,84.89,0
frame_000001_fish_01.png,521,412,557,505,0.8906,78.16,0
frame_000001_fish_02.png,657,421,716,504,0.8900,82.53,0
frame_000001_fish_03.png,533,0,614,98,0.7080,83.03,0
frame_000001_fish_04.png,472,415,505,503,0.5094,86.51,0
frame_000002_fish_00.png,731,519,814,563,0.8677,86.23,0
frame_000002_fish_01.png,967,378,1001,430,0.8614,81.84,0
frame_000002_fish_02.png,623,118,659,208,0.8120,80.67,0
frame_000002_fish_03.png,524,50,627,116,0.8076,83.78,0
frame_000002_fish_04.png,493,313,552,368,0.7309,90.55,0
frame_000002_fish_05.png,521,314,552,368,0.6651,89.13,0
frame_000003_fish_00.png,814,497,894,546,0.8815,86.16,0
frame_000003_fish_01.png,558,222,579,293,0.7900,90.83,0
frame_000004_fish_00.png,883,498,959,547,0.9055,72.35,0
frame_000004_fish_01.png,984,554,1023,618,0.8680,93.48,0
frame_000004_fish_02.png,548,53,617,141,0.7949,83.84,0
frame_000004_fish_03.png,1179,256,1197,318,0.7298,75.10,0
frame_000004_fish_04.png,548,53,618,181,0.5385,84.45,0
frame_000004_fish_05.png,568,135,620,188,0.3219,84.28,0
frame_000005_fish_00.png,747,128,888,193,0.9013,84.00,0
frame_000005_fish_01.png,1007,575,1082,669,0.8978,88.28,0
frame_000005_fish_02.png,914,602,980,648,0.8909,87.66,0
frame_000005_fish_03.png,1188,310,1234,385,0.8735,87.45,0
frame_000005_fish_04.png,555,80,588,135,0.4967,81.89,0
frame_000006_fish_00.png,867,623,924,674,0.8918,91.16,0
frame_000006_fish_01.png,1071,711,1097,768,0.8754,82.83,0
frame_000006_fish_02.png,1225,358,1272,438,0.8753,88.27,0
frame_000006_fish_03.png,1205,270,1237,333,0.8233,82.30,0
frame_000007_fish_00.png,1222,425,1263,503,0.8895,85.74,0
frame_000007_fish_01.png,912,731,1011,775,0.8847,80.10,0
frame_000007_fish_02.png,786,656,846,688,0.8761,86.56,0
frame_000007_fish_03.png,1194,340,1296,374,0.8304,87.75,0
frame_000007_fish_04.png,591,226,674,301,0.6358,90.16,0
frame_000007_fish_05.png,616,244,674,301,0.3787,85.32,0
frame_000008_fish_00.png,804,603,877,683,0.9139,81.68,0
frame_000008_fish_01.png,1259,315,1296,410,0.8910,83.21,0
frame_000008_fish_02.png,729,681,784,719,0.8876,82.30,0
frame_000008_fish_03.png,1158,532,1244,571,0.8624,86.75,0
frame_000009_fish_00.png,731,493,817,579,0.9124,88.46,0
frame_000009_fish_01.png,688,687,747,733,0.8910,89.49,0
frame_000009_fish_02.png,1091,505,1164,564,0.8863,93.14,0
frame_000009_fish_03.png,1257,326,1301,432,0.8717,88.23,0
frame_000009_fish_04.png,901,278,1000,375,0.8671,84.06,0
frame_000010_fish_00.png,640,695,717,725,0.8973,71.74,0
frame_000010_fish_01.png,1073,441,1123,519,0.8920,92.28,0
frame_000010_fish_02.png,703,474,747,506,0.8814,72.60,0
frame_000010_fish_03.png,1263,361,1317,449,0.8742,89.06,0
frame_000011_fish_00.png,633,678,684,739,0.8970,84.01,0
frame_000011_fish_01.png,681,494,739,575,0.8807,80.57,0
frame_000011_fish_02.png,1275,389,1323,475,0.8687,90.43,0
frame_000011_fish_03.png,1069,360,1095,437,0.8412,84.82,0
frame_000012_fish_00.png,613,688,683,725,0.9026,80.85,0
frame_000012_fish_01.png,1172,399,1252,461,0.9013,91.17,0
frame_000012_fish_02.png,740,600,826,667,0.8618,82.18,0
frame_000013_fish_00.png,608,672,650,724,0.8911,77.45,0
frame_000013_fish_01.png,841,653,932,715,0.8779,81.70,0
frame_000013_fish_02.png,713,109,814,173,0.8748,82.74,0
frame_000013_fish_03.png,1149,360,1218,391,0.8022,88.14,0
frame_000014_fish_00.png,608,654,641,713,0.9017,73.79,0
frame_000014_fish_01.png,785,122,885,206,0.8943,88.86,0
frame_000014_fish_02.png,970,673,1067,709,0.8850,81.50,0
frame_000014_fish_03.png,1105,329,1178,377,0.8832,86.43,0
frame_000014_fish_04.png,820,283,865,369,0.8745,89.29,0
frame_000015_fish_00.png,809,313,901,367,0.9073,91.13,0
frame_000015_fish_01.png,611,644,649,705,0.8823,76.66,0
frame_000015_fish_02.png,1069,665,1128,710,0.8520,86.18,0
frame_000015_fish_03.png,1107,300,1165,331,0.7047,84.85,0
frame_000015_fish_04.png,856,62,915,148,0.5704,88.90,0
frame_000016_fish_00.png,1075,606,1122,663,0.9035,79.82,0
frame_000016_fish_01.png,889,309,924,374,0.8963,74.86,0
frame_000016_fish_02.png,609,611,643,681,0.8636,81.78,0
frame_000017_fish_00.png,1002,572,1082,622,0.8760,80.73,0
frame_000017_fish_01.png,871,347,949,407,0.8742,88.06,0
frame_000017_fish_02.png,610,602,650,659,0.8722,78.90,0
frame_000017_fish_03.png,846,191,947,259,0.7675,84.49,0
frame_000018_fish_00.png,903,589,996,662,0.9067,85.03,0
frame_000018_fish_01.png,821,315,914,372,0.8762,91.02,0
frame_000018_fish_02.png,682,220,805,315,0.8681,86.04,0
frame_000018_fish_03.png,612,571,654,622,0.8613,76.89,0
frame_000018_fish_04.png,792,326,829,383,0.8596,88.10,0
frame_000019_fish_00.png,789,686,873,743,0.9035,82.98,0
frame_000019_fish_01.png,804,387,859,457,0.8828,93.04,0
frame_000019_fish_02.png,596,545,633,622,0.8792,76.37,0
frame_000020_fish_00.png,542,291,622,365,0.9094,82.92,0
frame_000020_fish_01.png,718,746,790,790,0.8739,82.48,0
frame_000020_fish_02.png,568,598,598,627,0.3124,85.65,0
frame_000021_fish_00.png,625,720,679,780,0.9063,81.06,0
frame_000021_fish_01.png,662,626,714,719,0.9035,78.73,0
frame_000021_fish_02.png,1123,282,1151,353,0.8329,80.95,0
frame_000021_fish_03.png,681,139,752,180,0.8005,86.90,0
frame_000022_fish_00.png,1108,305,1162,399,0.8932,89.25,0
frame_000022_fish_01.png,709,796,783,824,0.8866,87.03,0
frame_000022_fish_02.png,640,502,683,605,0.8849,83.62,0
frame_000022_fish_03.png,590,342,680,370,0.8041,83.87,0
frame_000022_fish_04.png,693,69,801,156,0.6404,84.71,0
frame_000023_fish_00.png,1112,331,1158,422,0.8751,86.32,0
frame_000023_fish_01.png,605,403,661,503,0.8735,85.44,0
frame_000023_fish_02.png,827,805,880,831,0.8599,86.71,0
frame_000023_fish_03.png,714,202,796,248,0.8470,83.06,0
frame_000023_fish_04.png,696,337,729,408,0.8382,86.45,0
frame_000024_fish_00.png,602,377,660,460,0.8990,84.65,0
frame_000024_fish_01.png,1141,372,1240,410,0.8519,88.10,0
frame_000024_fish_02.png,911,800,957,831,0.8073,89.27,0
frame_000024_fish_03.png,626,122,708,250,0.7443,85.22,0
frame_000024_fish_04.png,627,206,660,269,0.4213,83.67,0
frame_000025_fish_00.png,1197,357,1269,429,0.9053,92.60,0
frame_000025_fish_01.png,610,415,664,510,0.8538,87.84,0
frame_000025_fish_02.png,639,198,671,246,0.3009,84.53,0
frame_000026_fish_00.png,960,768,997,808,0.8812,88.75,0
frame_000026_fish_01.png,1120,385,1204,413,0.8497,86.82,0
frame_000026_fish_02.png,640,577,715,671,0.8329,83.67,0
frame_000027_fish_00.png,698,679,792,729,0.9051,77.40,0
frame_000027_fish_01.png,929,770,972,810,0.8989,88.25,0
frame_000027_fish_02.png,1098,369,1147,415,0.8519,83.08,0
frame_000028_fish_00.png,1062,317,1101,408,0.8992,79.07,0
frame_000028_fish_01.png,879,770,936,799,0.8785,79.86,0
frame_000028_fish_02.png,755,666,793,714,0.8734,79.74,0
frame_000029_fish_00.png,863,760,899,792,0.8822,79.46,0
frame_000029_fish_01.png,756,600,794,694,0.8692,72.11,0
frame_000029_fish_02.png,1091,242,1144,339,0.8446,83.63,0
frame_000030_fish_00.png,758,572,813,665,0.9075,75.88,0
frame_000030_fish_01.png,838,740,890,769,0.8906,78.02,0
frame_000030_fish_02.png,587,206,630,278,0.4312,92.05,0
frame_000031_fish_00.png,755,546,826,641,0.9025,83.74,0
frame_000031_fish_01.png,818,731,849,791,0.8859,90.08,0
frame_000031_fish_02.png,585,187,630,279,0.8631,89.36,0
frame_000031_fish_03.png,748,27,891,90,0.7205,87.61,0
frame_000032_fish_00.png,800,767,849,827,0.9065,82.69,0
frame_000032_fish_01.png,730,509,802,586,0.8923,84.33,0
frame_000032_fish_02.png,1102,280,1152,361,0.8915,84.59,0
frame_000032_fish_03.png,789,58,924,130,0.8317,85.69,0
frame_000033_fish_00.png,811,795,862,851,0.9046,86.57,0
frame_000033_fish_01.png,668,342,737,431,0.9009,90.52,0
frame_000033_fish_02.png,1122,319,1188,409,0.8885,88.45,0
frame_000033_fish_03.png,684,499,753,572,0.8795,81.87,0
frame_000033_fish_04.png,809,101,935,171,0.8190,83.36,0
frame_000034_fish_00.png,778,835,849,863,0.8992,87.29,0
frame_000034_fish_01.png,802,498,867,559,0.8960,92.51,0
frame_000034_fish_02.png,655,523,716,561,0.8542,80.20,0
frame_000034_fish_03.png,1176,346,1203,450,0.8429,85.10,0
frame_000035_fish_00.png,703,824,768,855,0.9065,90.22,0
frame_000035_fish_01.png,848,452,896,540,0.8791,84.11,0
frame_000035_fish_02.png,1114,396,1200,441,0.8673,89.59,0
frame_000035_fish_03.png,733,575,835,628,0.8653,79.90,0
frame_000036_fish_00.png,865,590,940,655,0.9077,83.35,0
frame_000036_fish_01.png,882,342,919,402,0.7913,88.70,0
frame_000036_fish_02.png,946,325,1006,371,0.4454,77.82,0
frame_000037_fish_00.png,1134,638,1218,713,0.9000,84.08,0
frame_000037_fish_01.png,708,794,738,832,0.8980,85.17,0
frame_000037_fish_02.png,912,578,988,665,0.8976,84.88,0
frame_000037_fish_03.png,855,205,942,246,0.8122,78.68,0
frame_000037_fish_04.png,573,701,596,731,0.4051,81.86,0
frame_000038_fish_00.png,988,721,1059,762,0.8985,84.66,0
frame_000038_fish_01.png,652,380,727,409,0.8861,84.84,0
frame_000038_fish_02.png,1226,671,1251,751,0.8832,82.16,0
frame_000038_fish_03.png,632,670,689,704,0.8791,79.74,0
frame_000038_fish_04.png,754,719,777,761,0.8760,78.60,0
frame_000039_fish_00.png,1217,592,1260,679,0.9202,83.92,0
frame_000039_fish_01.png,871,369,914,457,0.8868,85.56,0
frame_000039_fish_02.png,693,690,731,725,0.8865,78.58,0
frame_000039_fish_03.png,735,645,812,690,0.8815,74.09,0
frame_000039_fish_04.png,671,106,769,214,0.8333,87.36,0
frame_000039_fish_05.png,584,386,624,417,0.8302,88.16,0
frame_000039_fish_06.png,781,272,812,351,0.8213,86.09,0
frame_000039_fish_07.png,696,648,733,682,0.7005,80.82,0
frame_000040_fish_00.png,563,368,610,422,0.9045,82.50,0
frame_000040_fish_01.png,647,595,703,634,0.8953,73.49,0
frame_000040_fish_02.png,769,793,858,826,0.8894,68.93,0
frame_000040_fish_03.png,1211,549,1257,625,0.8749,84.35,0
frame_000040_fish_04.png,654,499,724,592,0.8749,92.12,0
frame_000040_fish_05.png,892,537,924,619,0.8678,84.48,0
frame_000040_fish_06.png,554,737,629,805,0.8595,81.40,0
frame_000041_fish_00.png,847,775,936,811,0.9035,74.09,0
frame_000041_fish_01.png,1191,519,1233,614,0.8885,85.44,0
frame_000041_fish_02.png,720,750,768,792,0.8727,84.73,0
frame_000041_fish_03.png,655,683,751,723,0.8699,76.40,0
frame_000041_fish_04.png,610,264,651,356,0.8691,80.64,0
frame_000041_fish_05.png,631,158,744,238,0.8620,82.95,0
frame_000041_fish_06.png,584,740,617,850,0.8378,84.82,0
frame_000041_fish_07.png,832,518,854,588,0.8297,88.49,0
frame_000042_fish_00.png,943,788,1017,822,0.9063,80.90,0
frame_000042_fish_01.png,830,619,880,714,0.9054,87.27,0
frame_000042_fish_02.png,1171,491,1229,575,0.9025,83.20,0
frame_000042_fish_03.png,692,618,757,715,0.8951,81.71,0
frame_000042_fish_04.png,592,736,686,802,0.8920,88.72,0
frame_000042_fish_05.png,633,137,711,249,0.8789,89.13,0
frame_000042_fish_06.png,877,498,971,526,0.8760,82.07,0
frame_000042_fish_07.png,560,250,630,283,0.8635,90.13,0
frame_000043_fish_00.png,1042,485,1112,566,0.8977,87.82,0
frame_000043_fish_01.png,717,551,784,609,0.8935,90.95,0
